emotion,utterance,art_style,painting,repetition,artist,year
contentment,this reminds me of my house as a child growing up,Realism,do not called,13,pyotr konchalovsky,1947
sadness,The face and body of the person in painting looks dirtied. The person is alone and it makes me feel sadness,Impressionism,boy in sea foam,9,joaquã­n sorolla,1900
sadness,This lady looks sad and lost.,Expressionism,germaine survage with earrings,10,amedeo modigliani,1918
fear,there is only really one line in the picture and it looks like you could be in the fog but something is in the distance,Color_Field_Painting,the voice,15,barnett newman,1950
anger,The woman will not allow black people to enter into her store because she is racist against them.,Impressionism,helene rouart in her father s study,4,edgar degas,1886
sadness,The valley trees have turned orange and brown like it is fall.,Romanticism,autumn on the wissahickon,10,thomas moran,1864
contentment,The lady looks happy and has a bright smile on her face.,Baroque,flower seller,5,bartolome esteban murillo,1670
sadness,Two kneeling  angels  are appearing to be trying to help a dying person.,Symbolism,mother of god study,2,nikolaos gyzis,1898
sadness,Feeling sorry for the horse as though it is being manipulated (oddly painted designs) and being forced to entertain as a clown.,Expressionism,clown horse salamandra,1,amadeo de souza cardoso,1912
contentment,The angels seem to be embracing each other on the rock.,Romanticism,jacob wrestling with the angel,4,gustave dore,1866
anger,"if i might describe what anger is, probably this is the best graphic representation of it",Baroque,hercules vanquishing the hydra of lerma,16,guido reni,1620
disgust,Th streets seem like they are unpaved and hard to walk on.,Impressionism,the street of hermitage pontoise,6,camille pissarro,1874
disgust,"This entire picture is very unruly, dark, and chaotic.",Action_painting,black white number 20,4,jackson pollock,1951
fear,this picture is like ghost drawing so just fear,Impressionism,portrait of grand duchess olga alexandrovna,19,valentin serov,1893
disgust,A group of women naked amongst each other defines an orgy or prostitution.,Impressionism,make an attempt second version,9,edgar degas,1877
sadness,The person looks like they are all alone and possibly scared.Makes me want to help,Impressionism,street in osny,9,paul gauguin,1883
disgust,It looks like a concrete slab that has blackened. Boring.,Abstract_Expressionism,bruno,17,milton resnick,1982
fear,"The woman in this painting has adopted a frightened, apprehensive expression and posture. She is almost distorted, her torso and neck appearing lengthened by her anxiety, which in turn increases my own when looking at this painting. The object of her scorn or terror or distaste is just behind and to the left of we the observers, and that similarly heightens the feeling of anxiety we experience.",Art_Nouveau_Modern,yvette guilbert,9,henri de toulouse lautrec,1895
sadness,This shows a way of life that has been lost.  It let us be closer to the earth and nature.,Post_Impressionism,at the barn,32,pyotr konchalovsky,1926
sadness,The man in the painting got shot and died.,Pop_Art,abraham lincoln,26,leroy neiman,1968
sadness,HERE IS A WOMAN AT THE END OF HER LIFE IN A TIME THAT MUST HAVE BEEN VERY HARD FOR HER. ON HER FINGER IS A WEDDING RING BUT HER HUSBAND ISN'T PICTURED WITH HER SO ONE CAN ASSUME HER HUSBAND HAS PASSED ON. YOU CAN SEE THE SIGNS OF TIME AND PAIN ON HER FACE. VERY SAD.,Realism,portrait of julia petrovna greek,1,boris kustodiev,1901
sadness,The woman's big sad eyes show a lot of expressive emotion and it makes me feel sorry for her.,Romanticism,portrait of mary freer,15,john constable,1809
fear,It is monochromatic and un-lively,Expressionism,camel and figure,4,sidney nolan,1966
sadness,The man just has a real sadness in his eyes.,Realism,portrait of the author ivan goncharov,5,ivan kramskoy,1874
disgust,The cluttered and chaotic room crowded with evokes a sense of disorder and neglect.,Naive_Art_Primitivism,a tramp on christmas day,2,grandma moses,1946
fear,I fear the woman doesn't notice a man is watching her from the window.,Impressionism,actress hope komarovskaya,5,konstantin korovin,1919
sadness,She looks like she is looking longingly outside. The dark streaks on the wall behind her look like a dark spirit symbolizing her depression.,Impressionism,peter i in the palace of monplaisir unfinished,58,valentin serov,1911
